date,level,campaign_id,campaign_name,spend,impressions,clicks,ctr_pct,cpc_krw,frequency,purchases,purchase_value_krw,cpa_krw,roas,roas_source,raw_json_path,appended_at
2026-05-17,account,account,,154251.0,27614.0,455.0,1.647715,339.0129,1.262066,8.0,347956.5,19281.375,2.255781,omni_purchase,data/meta_ads/raw/2026-05-17.json,2026-05-18T09:01:52+09:00
2026-05-16,account,account,,125860.0,21974.0,315.0,1.433512,399.55620000000005,1.252365,9.0,429954.0,13984.443800000001,3.416129,omni_purchase,data/meta_ads/raw/2026-05-16.json,2026-05-17T08:59:08+09:00
2026-05-15,account,account,,118116.99999999999,19536.0,259.0,1.325758,456.04965,1.211084,8.0,413728.5,14764.624999999998,3.502701,omni_purchase,data/meta_ads/raw/2026-05-15.json,2026-05-16T08:58:12+09:00
2026-05-14,account,account,,135444.5,21771.0,342.0,1.570897,396.03705,1.205615,10.0,499061.0,13544.449999999999,3.684616,omni_purchase,data/meta_ads/raw/2026-05-14.json,2026-05-15T09:01:31+09:00
2026-05-13,account,account,,139171.0,20938.0,331.0,1.580858,420.4565,1.29832,13.0,789162.5,10705.46165,5.670452,omni_purchase,data/meta_ads/raw/2026-05-13.json,2026-05-14T09:07:39+09:00
2026-05-12,account,account,,150611.5,25193.0,335.0,1.329734,449.587,1.247549,8.0,622847.5,18826.4375,4.135458,omni_purchase,data/meta_ads/raw/2026-05-12.json,2026-05-13T13:58:42+09:00
2026-05-10,account,account,,152743.0,25793.0,381.0,1.477145,400.90034999999995,1.254645,6.0,295626.0,25457.16715,1.935447,,data/meta_ads/raw/2026-05-10.json,2026-05-11T08:58:10+09:00
2026-05-09,account,account,,121916.0,20163.0,333.0,1.65154,366.1134,1.289524,7.0,263204.0,17416.57205,2.158896,,data/meta_ads/raw/2026-05-09.json,2026-05-10T08:55:31+09:00
2026-05-08,account,account,,133820.5,21497.0,292.0,1.358329,458.2899,1.236099,10.0,610116.5,13382.05,4.559216,,data/meta_ads/raw/2026-05-08.json,2026-05-09T09:00:14+09:00
2026-05-07,account,account,,120379.0,20345.0,338.0,1.661342,356.15045000000003,1.283677,6.0,395922.5,20063.16715,3.288967,,data/meta_ads/raw/2026-05-07.json,2026-05-08T08:58:35+09:00
2026-05-04,account,account,,125903.5,20160.0,272.0,1.349206,462.8806,1.333774,10.0,579304.0,12590.35,4.601175,,data/meta_ads/raw/2026-05-04.json,2026-05-05T11:33:21+09:00
2026-05-02,account,account,,111751.49999999999,18987.0,306.0,1.611629,365.20135,1.212917,6.0,481617.49999999994,18625.25,4.309718,,data/meta_ads/raw/2026-05-02.json,2026-05-03T10:43:35+09:00
